ID;Type;Pattern;StrokeRGB;FillRGB;Sizing;x1;y1;x2;y2;x3;y3;x4;y4
86;IGM;igm702.svg;231f20;FFFFFF;40;860;860;865;860;865;865;860;865
87;IGM;igm703.svg;231f20;FFFFFF;40;870;870;875;870;875;875;870;875
88;IGM;igm704.svg;231f20;FFFFFF;40;880;880;885;880;885;885;880;885
89;IGM;igm705.svg;231f20;FFFFFF;40;890;890;895;890;895;895;890;895
90;IGM;igm706.svg;231f20;FFFFFF;40;900;900;905;900;905;905;900;905
91;IGM;igm707.svg;231f20;FFFFFF;40;910;910;915;910;915;915;910;915
92;IGM;igm708.svg;231f20;FFFFFF;40;920;920;925;920;925;925;920;925
93;IGM;igm709.svg;231f20;FFFFFF;40;930;930;935;930;935;935;930;935
94;IGM;igm710.svg;231f20;FFFFFF;40;940;940;945;940;945;945;940;945
95;IGM;igm711.svg;231f20;FFFFFF;40;950;950;955;950;955;955;950;955
96;IGM;igm712.svg;231f20;FFFFFF;40;960;960;965;960;965;965;960;965
97;IGM;igm713.svg;231f20;FFFFFF;40;970;970;975;970;975;975;970;975
98;IGM;igm714.svg;231f20;FFFFFF;40;980;980;985;980;985;985;980;985
99;IGM;igm715.svg;231f20;FFFFFF;40;990;990;995;990;995;995;990;995
100;IGM;igm716.svg;231f20;FFFFFF;40;1000;1000;1005;1000;1005;1005;1000;1005
101;IGM;igm717.svg;231f20;FFFFFF;40;1010;1010;1015;1010;1015;1015;1010;1015
102;IGM;igm718.svg;231f20;FFFFFF;40;1020;1020;1025;1020;1025;1025;1020;1025
103;IGM;igm719.svg;231f20;FFFFFF;40;1030;1030;1035;1030;1035;1035;1030;1035
104;IGM;igm720.svg;231f20;FFFFFF;40;1040;1040;1045;1040;1045;1045;1040;1045
105;IGM;igm721.svg;231f20;FFFFFF;40;1050;1050;1055;1050;1055;1055;1050;1055
106;IGM;igm722.svg;231f20;FFFFFF;40;1060;1060;1065;1060;1065;1065;1060;1065
107;IGM;igm723.svg;231f20;FFFFFF;40;1070;1070;1075;1070;1075;1075;1070;1075
108;IGM;igm724.svg;231f20;FFFFFF;40;1080;1080;1085;1080;1085;1085;1080;1085
109;IGM;igm725.svg;231f20;FFFFFF;40;1090;1090;1095;1090;1095;1095;1090;1095
110;IGM;igm726.svg;231f20;FFFFFF;40;1100;1100;1105;1100;1105;1105;1100;1105
111;IGM;igm727.svg;231f20;FFFFFF;40;1110;1110;1115;1110;1115;1115;1110;1115
112;IGM;igm728.svg;231f20;FFFFFF;40;1120;1120;1125;1120;1125;1125;1120;1125
113;IGM;igm729.svg;231f20;FFFFFF;40;1130;1130;1135;1130;1135;1135;1130;1135
114;IGM;igm730.svg;231f20;FFFFFF;40;1140;1140;1145;1140;1145;1145;1140;1145
115;IGM;igm731.svg;231f20;FFFFFF;40;1150;1150;1155;1150;1155;1155;1150;1155
116;IGM;igm732.svg;231f20;FFFFFF;40;1160;1160;1165;1160;1165;1165;1160;1165
117;IGM;igm733.svg;231f20;FFFFFF;40;1170;1170;1175;1170;1175;1175;1170;1175
